Matchup,2nd Spell,Tips,Difficulty,Runes 1st Choice,Runes 2nd Choice,Explanation
Ahri,Cleanse/Exhaust,It should be pretty easy lane pre 6. She will try to hit you and minions in the same time with her Q - try to dodge it. Maneuver near minions to avoid being hitted by her E. Punish her every time she uses Q or missed E. After 6 its going to be tricky because she can dash through your ultimate and get off the range of your soldiers (save at least 1 soldier for this). Her ult CD is 99 sec with 10% CDR and 88 sec with 20% - punish her. ,Medium,Comet + Precision,Lethal Tempo,Standard poke rune page with precision. Lethal Tempo if you want to scale better into late or if they got some tanks.
Akali,Exhaust,Easy pre 6. Poke her when she is going for farm. Get the lead before 6. Her W (jump/invisible) lasts for 8 sec and goes in CD for 18 sec with 0% CDR. Remember that when she is invisible you can still hit her when you have minions inside her's W (if she will get dmg you will see her for a moment). After 6 play under your turret and try to zone her. She can ult/jump(W) your R. Most of her burst comming from Q proc.,Medium,Comet + Precision,Comet + Inspiration,Standard poke rune page with precision. Take inspiration if you feel you will need to be defensive.
Anivia,Cleanse/Teleport,Its not the hardest matchup. Pre 6 shove her in - its pretty hard for her to farm under turret without ultimate. Be aware of her passive - you literally need to kill her twice to get a kill. She needs 6 sec to be rebirthted on egg. Her Passive CD is 240 sec (4 min). Punish her when she misses the Q. Obviously never stay in her R. ,Easy,Comet + Precision,Lethal Tempo,Standard poke rune page with precision. Lethal Tempo is a option because its going to be mostly a farm lane.
Annie,Cleanse,Watch for her stun. If she is keeping it - there is a chance that enemy jungler is nearby. Keep the distance. Poke her when she got 1-2 stacks. Care for enraged Tibbers when she dies.,Medium,Comet + Precision,Lethal Tempo,Standard poke rune page with precision. Lethal Tempo if you want to scale better into late or if they got some tanks.
Aurelion Sol,Cleanse/Teleport,He will want to shove the lane so try to punish him when he is doing that. He will roam a lot so warn your teammates every time he leaves the lane. If you are dueling get close to him so he cant use his W. Shove the lane - get turret.,Easy,Comet + Precision,Lethal Tempo,Standard poke rune page with precision. Lethal Tempo is a option because its going to be mostly a farm lane.
Brand,Barrier/Heal/Cleanse,Don't stay in minions. You can take the early tier 1 boots to make his W easier to dodge. If he will hit you with W/E stay behind the minion so he cant stun you with Q. Don't stay grouped if he ults.,Easy,Comet + Precision,Lethal Tempo,Standard poke rune page with precision including Celerity. Lethal Tempo (including Celerity) if you want to scale better into late or if they got some tanks.
Cassiopeia,Heal/Exhaust>Cleanse,Dodge her Q so she won't have the bonus dmg on E. Watch minions - if she will get level 2 before you she can burst you down. You can't dash when you're standing in her W - however you can dash through it. You can take Cleanse for her R.,Medium,Comet + Precision,Lethal Tempo,Standard poke rune page with precision. Lethal Tempo if you want to scale better into late or if they got some tanks.
Cho'Gath,Barrier,Keep the distance. Dodge his Q. Poke him all the time he will want to take CS. He have a great sunstain but that doesn't mean you can't kill him. Care after level 6.,Easy,Lethal Tempo,Comet + Precision,Lethal Tempo because you probably won't kill Cho'gath on lane so its better option to scale. You can always try to poke him down with Comet.
Corki,Heal/Barrier>Teleport,His Q is easy to dodge. Keep your distance - his W will lower your Armor and MR. Warn your teammates when he is getting a package (sound effect). R is easy to dodge and its AoE so don't stay near minions.,Easy,Comet + Precision,Lethal Tempo,Standard poke rune page with precision. Lethal Tempo if you want to scale better into late or if they got some tanks.
Diana,Exhaust,Pre 6 its quite easy. Poke her a lot when she is trying to farm. Don't stay near minions - she will try to farm with Q poking you in the same time. After 6 you have to dodge her Q so she can use R once. She can R through your ult.,Medium,Comet + Precision,Comet + Inspiration,Standard poke rune page with precision including Nullyfing Orb. Take inspiration if you feel you will need to be defensive (including Nullyfing Orb).
